statistic,player,team,value,year
Hits,Jose Altuve,Houston,200,2015
Home Runs,Chris Davis,Baltimore,47,2015
On Base Percentage,Miguel Cabrera,Detroit,.440,2015
RBI,Josh Donaldson,Toronto,123,2015
Runs,Josh Donaldson,Toronto,122,2015
Slugging Average,Mike Trout,Los Angeles,.590,2015
Stolen Bases,Jose Altuve,Houston,38,2015
Total Bases,Josh Donaldson,Toronto,352,2015
Triples,Eddie Rosario,Minnesota,15,2015
Complete Games,Mark Buehrle,Toronto,4,2015
Complete Games,Corey Kluber,Cleveland,4,2015
ERA,David Price,Detroit,2.45,2015
ERA,David Price,Toronto,2.45,2015
Games,Kevin Jepsen,Tampa Bay,75,2015
Games,Kevin Jepsen,Minnesota,75,2015
Saves,Brad Boxberger,Tampa Bay,41,2015
Shutouts,Sonny Gray,Oakland,2,2015
Shutouts,Felix Hernandez,Seattle,2,2015
Shutouts,Dallas Keuchel,Houston,2,2015
Shutouts,Mike Montgomery,Seattle,2,2015
Shutouts,Jeff Samardzija,Chicago,2,2015
Strikeouts,Chris Sale,Chicago,274,2015
Winning Percentage,David Price,Detroit,.783,2015
Winning Percentage,David Price,Toronto,.783,2015
Wins,Dallas Keuchel,Houston,20,2015
Base on Balls,Mike Trout,Los Angeles,116,2016
Batting Average,Jose Altuve,Houston,.338,2016
Doubles,David Ortiz,Boston,48,2016
Hits,Jose Altuve,Houston,216,2016
Home Runs,Mark Trumbo,Baltimore,47,2016
On Base Percentage,Mike Trout,Los Angeles,.441,2016
RBI,Edwin Encarnacion,Toronto,127,2016
RBI,David Ortiz,Boston,127,2016
Runs,Mike Trout,Los Angeles,123,2016
Slugging Average,David Ortiz,Boston,.620,2016
Stolen Bases,Rajai Davis,Cleveland,43,2016
Total Bases,Mookie Betts,Boston,359,2016
Triples,Adam Eaton,Chicago,9,2016
Complete Games,Chris Sale,Chicago,6,2016
ERA,Aaron Sanchez,Toronto,3.00,2016
Games,Bryan Shaw,Cleveland,75,2016
Saves,Zach Britton,Baltimore,47,2016
Shutouts,Corey Kluber,Cleveland,2,2016
Strikeouts,Justin Verlander,Detroit,254,2016
Winning Percentage,Aaron Sanchez,Toronto,.882,2016
Wins,Rick Porcello,Boston,22,2016
Base on Balls,Aaron Judge,New York Yankees,127,2017
Batting Average,Jose Altuve,Houston Astros,.346,2017
Doubles,Jose Ramirez,Cleveland Indians,56,2017
Hits,Jose Altuve,Houston Astros,204,2017
Home Runs,Aaron Judge,New York Yankees,52,2017
On Base Percentage,Mike Trout,Los Angeles Angels,.442,2017
RBI,Nelson Cruz,Seattle Mariners,119,2017
Runs,Aaron Judge,New York Yankees,128,2017
Slugging Average,Mike Trout,Los Angeles Angels,.629,2017
Stolen Bases,Whit Merrifield,Kansas City Royals,34,2017
Total Bases,Jose Abreu,Chicago White Sox,343,2017
Triples,Nick Castellanos,Detroit Tigers,10,2017
Complete Games,Corey Kluber,Cleveland Indians,5,2017
Complete Games,Ervin Santana,Minnesota Twins,5,2017
ERA,Corey Kluber,Cleveland Indians,2.25,2017
Games,Bryan Shaw,Cleveland Indians,79,2017
Saves,Alex Colome,Tampa Bay Rays,46,2017
Shutouts,Corey Kluber,Cleveland Indians,3,2017
Shutouts,Ervin Santana,Minnesota Twins,3,2017
Strikeouts,Chris Sale,Boston Red Sox,308,2017
Winning Percentage,Corey Kluber,Cleveland Indians,.818,2017
Wins,Carlos Carrasco,Cleveland Indians,18,2017
Wins,Corey Kluber,Cleveland Indians,18,2017
Wins,Jason Vargas,Kansas City Royals,18,2017
Base on Balls,Mike Trout,Los Angeles Angels,122,2018
Batting Average,Mookie Betts,Boston Red Sox,.346,2018
Doubles,Alex Bregman,Houston Astros,50,2018
Hits,Whit Merrifield,Kansas City Royals,192,2018
Home Runs,Khris Davis,Oakland Athletics,48,2018
On Base Percentage,Mike Trout,Los Angeles Angels,.460,2018
RBI,J.D. Martinez,Boston Red Sox,130,2018
Runs,Mookie Betts,Boston Red Sox,129,2018
Slugging Average,Mookie Betts,Boston Red Sox,.640,2018
Stolen Bases,Whit Merrifield,Kansas City Royals,45,2018
Total Bases,J.D. Martinez,Boston Red Sox,358,2018
Triples,Yolmer Sanchez,Chicago White Sox,10,2018
Triples,Mallex Smith,Tampa Bay Rays,10,2018
Complete Games,Jose Berrios,Minnesota Twins,2,2018
Complete Games,Carlos Carrasco,Cleveland Indians,2,2018
Complete Games,Corey Kluber,Cleveland Indians,2,2018
Complete Games,James Paxton,Seattle Mariners,2,2018
ERA,Blake Snell,Tampa Bay Rays,1.89,2018
Games,Ryan Pressly,Minnesota Twins,77,2018
Games,Ryan Pressly,Houston Astros,77,2018
Saves,Edwin Diaz,Seattle Mariners,57,2018
Shutouts,Jose Berrios,Minnesota Twins,1,2018
Shutouts,Mike Clevinger,Cleveland Indians,1,2018
Shutouts,Gerrit Cole,Houston Astros,1,2018
Shutouts,Andrew Heaney,Los Angeles Angels,1,2018
Shutouts,Corey Kluber,Cleveland Indians,1,2018
Shutouts,Sean Manaea,Oakland Athletics,1,2018
Shutouts,Daniel Mengden,Oakland Athletics,1,2018
Shutouts,James Paxton,Seattle Mariners,1,2018
Shutouts,Luis Severino,New York Yankees,1,2018
Shutouts,Masahiro Tanaka,New York Yankees,1,2018
Shutouts,Justin Verlander,Houston Astros,1,2018
Strikeouts,Justin Verlander,Houston Astros,290,2018
Winning Percentage,Charlie Morton,Houston Astros,.833,2018
Wins,Blake Snell,Tampa Bay Rays,21,2018
Base on Balls,Alex Bregman,Houston Astros,119,2019
Batting Average,Tim Anderson,Chicago White Sox,.335,2019
Doubles,Rafael Devers,Boston Red Sox,54,2019
Hits,Whit Merrifield,Kansas City Royals,206,2019
Home Runs,Jorge Soler,Kansas City Royals,48,2019
On Base Percentage,Mike Trout,Los Angeles Angels,.438,2019
RBI,Jose Abreu,Chicago White Sox,123,2019
Runs,Mookie Betts,Boston Red Sox,135,2019
Slugging Average,Mike Trout,Los Angeles Angels,.645,2019
Stolen Bases,Mallex Smith,Tampa Bay Rays,46,2019
Total Bases,Rafael Devers,Boston Red Sox,359,2019
Triples,Hunter Dozier,Kansas City Royals,10,2019
Triples,Whit Merrifield,Kansas City Royals,10,2019
Triples,Adalberto Mondesi,Kansas City Royals,10,2019
Complete Games,Shane Bieber,Cleveland Indians,3,2019
Complete Games,Lucas Giolito,Chicago White Sox,3,2019
ERA,Gerrit Cole,Houston Astros,2.50,2019
Games,Yusmeiro Petit,Oakland Athletics,80,2019
Saves,Roberto Osuna,Houston Astros,38,2019
Shutouts,Shane Bieber,Cleveland Indians,2,2019
Shutouts,Lucas Giolito,Chicago White Sox,2,2019
Strikeouts,Gerrit Cole,Houston Astros,326,2019
Winning Percentage,Gerrit Cole,Houston Astros,.800,2019
Wins,Justin Verlander,Houston Astros,21,2019
Base on Balls,Carlos Santana,Cleveland Indians,47,2020
Batting Average,DJ LeMahieu,New York Yankees,.364,2020
Doubles,Cesar Hernandez,Cleveland Indians,20,2020
Hits,Jose Abreu,Chicago White Sox,76,2020
Home Runs,Luke Voit,New York Yankees,22,2020
On Base Percentage,DJ LeMahieu,New York Yankees,.421,2020
RBI,Jose Abreu,Chicago White Sox,60,2020
Runs,Tim Anderson,Chicago White Sox,45,2020
Runs,Jose Ramirez,Cleveland Indians,45,2020
Slugging Average,Jose Abreu,Chicago White Sox,.617,2020
Stolen Bases,Adalberto Mondesi,Kansas City Royals,24,2020
Total Bases,Jose Abreu,Chicago White Sox,148,2020
Triples,Kyle Tucker,Houston Astros,6,2020
Complete Games,Gerrit Cole,New York Yankees,2,2020
ERA,Shane Bieber,Cleveland Indians,1.63,2020
Games,Scott Barlow,Kansas City Royals,32,2020
Saves,Brad Hand,Cleveland Indians,16,2020
Shutouts,Gerrit Cole,New York Yankees,1,2020
Shutouts,Kyle Gibson,Texas Rangers,1,2020
Shutouts,Lucas Giolito,Chicago White Sox,1,2020
Shutouts,Brad Keller,Kansas City Royals,1,2020
Shutouts,Mike Minor,Oakland Athletics,1,2020
Strikeouts,Shane Bieber,Cleveland Indians,122,2020
Winning Percentage,Shane Bieber,Cleveland Indians,.889,2020
Wins,Shane Bieber,Cleveland Indians,8,2020
Base on Balls,Joey Gallo,Texas Rangers,111,2021
Base on Balls,Joey Gallo,New York Yankees,111,2021
Batting Average,Yuli Gurriel,Houston Astros,.319,2021
Doubles,Jeimer Candelario,Detroit Tigers,42,2021
Doubles,J.D. Martinez,Boston Red Sox,42,2021
Doubles,Whit Merrifield,Kansas City Royals,42,2021
Hits,Bo Bichette,Toronto Blue Jays,191,2021
Home Runs,Vladimir Guerrero Jr.,Toronto Blue Jays,48,2021
Home Runs,Salvador Perez,Kansas City Royals,48,2021
On Base Percentage,Vladimir Guerrero Jr.,Toronto Blue Jays,.401,2021
RBI,Salvador Perez,Kansas City Royals,121,2021
Runs,Vladimir Guerrero Jr.,Toronto Blue Jays,123,2021
Slugging Average,Vladimir Guerrero Jr.,Toronto Blue Jays,.601,2021
Stolen Bases,Whit Merrifield,Kansas City Royals,40,2021
Total Bases,Vladimir Guerrero Jr.,Toronto Blue Jays,363,2021
Triples,Shohei Ohtani,Los Angeles Angels,8,2021
Complete Games,Gerrit Cole,New York Yankees,2,2021
Complete Games,Sean Manaea,Oakland Athletics,2,2021
ERA,Robbie Ray,Toronto Blue Jays,2.84,2021
Games,Bryan Shaw,Cleveland Indians,81,2021
Saves,Liam Hendriks,Chicago White Sox,38,2021
Shutouts,Sean Manaea,Oakland Athletics,2,2021
Strikeouts,Robbie Ray,Toronto Blue Jays,248,2021
Winning Percentage,"Lance McCullers, Jr.",Houston Astros,.722,2021
Wins,Gerrit Cole,New York Yankees,16,2021
Base on Balls,Aaron Judge,New York Yankees,111,2022
Batting Average,Luis Arraez,Minnesota Twins,.316,2022
Doubles,José Ramírez,Cleveland Guardians,44,2022
Hits,Bo Bichette,Toronto Blue Jays,189,2022
Home Runs,Aaron Judge,New York Yankees,62,2022
On Base Percentage,Aaron Judge,New York Yankees,.425,2022
RBI,Aaron Judge,New York Yankees,131,2022
Runs,Aaron Judge,New York Yankees,133,2022
Slugging Average,Aaron Judge,New York Yankees,.686,2022
Stolen Bases,Jorge Mateo,Baltimore Orioles,35,2022
Total Bases,Aaron Judge,New York Yankees,391,2022
Triples,Amed Rosario,Cleveland Guardians,9,2022
Complete Games,Framber Valdez,Houston Astros,3,2022
ERA,Justin Verlander,Houston Astros,1.75,2022
Games,Adam Cimber,Toronto Blue Jays,77,2022
Games,Emmanuel Clase,Cleveland Guardians,77,2022
Saves,Emmanuel Clase,Cleveland Guardians,42,2022
Shutouts,Dylan Cease,Chicago White Sox,1,2022
Shutouts,Nestor Cortes,New York Yankees,1,2022
Shutouts,Reid Detmers,Los Angeles Angels,1,2022
Shutouts,Nathan Eovaldi,Boston Red Sox,1,2022
Shutouts,Dean Kremer,Baltimore Orioles,1,2022
Shutouts,Martín Pérez,Texas Rangers,1,2022
Shutouts,Patrick Sandoval,Los Angeles Angels,1,2022
Shutouts,Framber Valdez,Houston Astros,1,2022
Shutouts,Michael Wacha,Boston Red Sox,1,2022
Strikeouts,Corbin Burnes,Milwaukee Brewers,243,2022
Winning Percentage,Justin Verlander,Houston Astros,.818,2022
Wins,Justin Verlander,Houston Astros,18,2022
Base on Balls,J.P. Crawford,Seattle Mariners,94,2023
Batting Average,Yandy Díaz,Tampa Bay Rays,.330,2023
Doubles,Corey Seager,Texas Rangers,42,2023
Hits,Marcus Semien,Texas Rangers,185,2023
Home Runs,Shohei Ohtani,Los Angeles Angels,44,2023
On Base Percentage,Shohei Ohtani,Los Angeles Angels,.412,2023
RBI,Kyle Tucker,Houston Astros,112,2023
Runs,Marcus Semien,Texas Rangers,122,2023
Slugging Average,Shohei Ohtani,Los Angeles Angels,.654,2023
Stolen Bases,Esteury Ruiz,Oakland Athletics,67,2023
Total Bases,Shohei Ohtani,Los Angeles Angels,325,2023
Triples,Bobby Witt Jr.,Kansas City Royals,11,2023
Complete Games,Jordan Lyles,Kansas City Royals,3,2023
ERA,Gerrit Cole,New York Yankees,2.63,2023
Games,Matt Brash,Seattle Mariners,78,2023
Saves,Emmanuel Clase,Cleveland Guardians,44,2023
Shutouts,Gerrit Cole,New York Yankees,2,2023
Shutouts,Framber Valdez,Houston Astros,2,2023
Strikeouts,Kevin Gausman,Toronto Blue Jays,237,2023
Winning Percentage,Gerrit Cole,New York Yankees,.789,2023
Wins,Chris Bassitt,Toronto Blue Jays,16,2023
Wins,Zach Eflin,Tampa Bay Rays,16,2023
Base on Balls,Aaron Judge,New York,133,2024
Batting Average,Bobby Witt Jr.,Kansas City,.332,2024
Doubles,Jarren Duran,Boston,48,2024
Hits,Bobby Witt Jr.,Kansas City,211,2024
Home Runs,Aaron Judge,New York,58,2024
On Base Percentage,Aaron Judge,New York,.458,2024
RBI,Aaron Judge,New York,144,2024
Runs,Juan Soto,New York,128,2024
Slugging Average,Aaron Judge,New York,.701,2024
Stolen Bases,Jose Caballero,Tampa Bay,44,2024
Total Bases,Aaron Judge,New York,392,2024
Triples,Jarren Duran,Boston,14,2024
Complete Games,Kevin Gausman,Toronto,2,2024
ERA,Tarik Skubal,Detroit,2.39,2024
Games,T.J. McFarland,Oakland,79,2024
Saves,Emmanuel Clase,Cleveland,47,2024
Shutouts,Ronel Blanco,Houston,1,2024
Shutouts,Joey Estes,Oakland,1,2024
Shutouts,Kevin Gausman,Toronto,1,2024
Shutouts,Tanner Houck,Boston,1,2024
Shutouts,Keider Montero,Detroit,1,2024
Strikeouts,Tarik Skubal,Detroit,228,2024
Winning Percentage,Tarik Skubal,Detroit,.818,2024
Wins,Tarik Skubal,Detroit,18,2024
Base on Balls,Aaron Judge,New York,124,2025
Batting Average,Aaron Judge,New York,.331,2025
Doubles,Bobby Witt Jr.,Kansas City,47,2025
Hits,Bobby Witt Jr.,Kansas City,184,2025
Home Runs,Cal Raleigh,Seattle,60,2025
On Base Percentage,Aaron Judge,New York,.457,2025
RBI,Cal Raleigh,Seattle,125,2025
Runs,Aaron Judge,New York,137,2025
Slugging Average,Aaron Judge,New York,.688,2025
Stolen Bases,José Caballero,Tampa Bay (34),49,2025
Stolen Bases,José Caballero,New York (15),49,2025
Total Bases,Aaron Judge,New York,372,2025
Triples,Jarren Duran,Boston,13,2025
Complete Games,Tanner Bibee,Cleveland,2,2025
Complete Games,Framber Valdez,Houston,2,2025
ERA,Tarik Skubal,Detroit,2.21,2025
Games,Brendon Little,Toronto,79,2025
Saves,Carlos Estévez,Kansas City,42,2025
Shutouts,Tanner Bibee,Cleveland,1,2025
Shutouts,Garrett Crochet,Boston,1,2025
Shutouts,Nathan Eovaldi,Texas,1,2025
Shutouts,Kevin Gausman,Toronto,1,2025
Shutouts,Tarik Skubal,Detroit,1,2025
Strikeouts,Garrett Crochet,Boston,255,2025
Winning Percentage,Max Fried,New York,.792,2025
Wins,Max Fried,New York,19,2025
