statistic,player,team,value,year
Home Runs,Troy Glaus,Anaheim,47,2000
On Base Percentage,Jason Giambi,Oakland,.476,2000
RBI,Edgar Martinez,Seattle,145,2000
Runs,Johnny Damon,Kansas City,136,2000
Slugging Average,Manny Ramirez,Cleveland,.697,2000
Stolen Bases,Johnny Damon,Kansas City,46,2000
Total Bases,Carlos Delgado,Toronto,378,2000
Triples,Cristian Guzman,Minnesota,20,2000
Statistic,Name,Team,#,2000
2000 American League Pitcher Review ← 1999 | 2000 Pitching Statistics League Leaders | 2001 →,2000 American League Pitcher Review ← 1999 | 2000 Pitching Statistics League Leaders | 2001 →,2000 American League Pitcher Review ← 1999 | 2000 Pitching Statistics League Leaders | 2001 →,2000 American League Pitcher Review ← 1999 | 2000 Pitching Statistics League Leaders | 2001 →,2000
Statistic,Name,Team,#,2000
Complete Games,David Wells,Toronto,9,2000
ERA,Pedro Martinez,Boston,1.74,2000
Games,Kelly Wunsch,Chicago,83,2000
Saves,Todd Jones,Detroit,42,2000
Saves,Derek Lowe,Boston,42,2000
Shutouts,Pedro Martinez,Boston,4,2000
Strikeouts,Pedro Martinez,Boston,284,2000
Winning Percentage,Tim Hudson,Oakland,.769,2000
Wins,Tim Hudson,Oakland,20,2000
Wins,David Wells,Toronto,20,2000
Statistic,Name,Team,#,2000
2000 American League Team Standings,2000 American League Team Standings,2000 American League Team Standings,2000 American League Team Standings,2000
East,Team [Click for roster],Wins,Losses,2000
East,New York Yankees,87,74,2000
East,Boston Red Sox,85,77,2000
East,Toronto Blue Jays,83,79,2000
East,Baltimore Orioles,74,88,2000
East,Tampa Bay Devil Rays,69,92,2000
Central,Team [Click for roster],Wins,Losses,2000
Central,Chicago White Sox,95,67,2000
Central,Cleveland Indians,90,72,2000
Central,Detroit Tigers,79,83,2000
Central,Kansas City Royals,77,85,2000
Central,Minnesota Twins,69,93,2000
West,Team [Click for roster],Wins,Losses,2000
West,Oakland Athletics,91,70,2000
West,Seattle Mariners,91,71,2000
West,Anaheim Angels,82,80,2000
West,Texas Rangers,71,91,2000
American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,2000
2001 American League Player Review ← 2000 | 2001 Hitting Statistics League Leaders | 2002 →,2001 American League Player Review ← 2000 | 2001 Hitting Statistics League Leaders | 2002 →,2001 American League Player Review ← 2000 | 2001 Hitting Statistics League Leaders | 2002 →,2001 American League Player Review ← 2000 | 2001 Hitting Statistics League Leaders | 2002 →,2001
Statistic,Name,Team,#,2001
Base on Balls,Jason Giambi,Oakland,129,2001
Batting Average,Ichiro Suzuki,Seattle,.350,2001
Doubles,Jason Giambi,Oakland,47,2001
Hits,Ichiro Suzuki,Seattle,242,2001
Home Runs,Alex Rodriguez,Texas,52,2001
On Base Percentage,Jason Giambi,Oakland,.477,2001
RBI,Bret Boone,Seattle,141,2001
Runs,Alex Rodriguez,Texas,133,2001
Slugging Average,Jason Giambi,Oakland,.660,2001
Stolen Bases,Ichiro Suzuki,Seattle,56,2001
Total Bases,Alex Rodriguez,Texas,393,2001
Triples,Cristian Guzman,Minnesota,14,2001
Statistic,Name,Team,#,2001
2001 American League Pitcher Review ← 2000 | 2001 Pitching Statistics League Leaders | 2002 →,2001 American League Pitcher Review ← 2000 | 2001 Pitching Statistics League Leaders | 2002 →,2001 American League Pitcher Review ← 2000 | 2001 Pitching Statistics League Leaders | 2002 →,2001 American League Pitcher Review ← 2000 | 2001 Pitching Statistics League Leaders | 2002 →,2001
Statistic,Name,Team,#,2001
Complete Games,Steve Sparks,Detroit,8,2001
ERA,Freddy Garcia,Seattle,3.05,2001
Games,Paul Quantrill,Toronto,80,2001
Saves,Mariano Rivera,New York,50,2001
Shutouts,Mark Mulder,Oakland,4,2001
Strikeouts,Hideo Nomo,Boston,220,2001
Winning Percentage,Roger Clemens,New York,.870,2001
Wins,Mark Mulder,Oakland,21,2001
Statistic,Name,Team,#,2001
2001 American League Team Standings,2001 American League Team Standings,2001 American League Team Standings,2001 American League Team Standings,2001
East,Team [Click for roster],Wins,Losses,2001
East,New York Yankees,95,65,2001
East,Boston Red Sox,82,79,2001
East,Toronto Blue Jays,80,82,2001
East,Baltimore Orioles,63,98,2001
East,Tampa Bay Devil Rays,62,100,2001
Central,Team [Click for roster],Wins,Losses,2001
Central,Cleveland Indians,91,71,2001
Central,Minnesota Twins,85,77,2001
Central,Chicago White Sox,83,79,2001
Central,Detroit Tigers,66,96,2001
Central,Kansas City Royals,65,97,2001
West,Team [Click for roster],Wins,Losses,2001
West,Seattle Mariners,116,46,2001
West,Oakland Athletics,102,60,2001
West,Anaheim Angels,75,87,2001
West,Texas Rangers,73,89,2001
American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,2001
2002 American League Player Review ← 2001 | 2002 Hitting Statistics League Leaders | 2003 →,2002 American League Player Review ← 2001 | 2002 Hitting Statistics League Leaders | 2003 →,2002 American League Player Review ← 2001 | 2002 Hitting Statistics League Leaders | 2003 →,2002 American League Player Review ← 2001 | 2002 Hitting Statistics League Leaders | 2003 →,2002
Statistic,Name,Team,#,2002
Base on Balls,Jim Thome,Cleveland,122,2002
Batting Average,Manny Ramirez,Boston,.349,2002
Doubles,Garret Anderson,Anaheim,56,2002
Doubles,Nomar Garciaparra,Boston,56,2002
Hits,Alfonso Soriano,New York,209,2002
Home Runs,Alex Rodriguez,Texas,57,2002
On Base Percentage,Manny Ramirez,Boston,.450,2002
RBI,Alex Rodriguez,Texas,142,2002
Runs,Alfonso Soriano,New York,128,2002
Slugging Average,Jim Thome,Cleveland,.677,2002
Stolen Bases,Alfonso Soriano,New York,41,2002
Total Bases,Alex Rodriguez,Texas,389,2002
Triples,Johnny Damon,Boston,11,2002
Statistic,Name,Team,#,2002
2002 American League Pitcher Review ← 2001 | 2002 Pitching Statistics League Leaders | 2003 →,2002 American League Pitcher Review ← 2001 | 2002 Pitching Statistics League Leaders | 2003 →,2002 American League Pitcher Review ← 2001 | 2002 Pitching Statistics League Leaders | 2003 →,2002 American League Pitcher Review ← 2001 | 2002 Pitching Statistics League Leaders | 2003 →,2002
Statistic,Name,Team,#,2002
Complete Games,Paul Byrd,Kansas City,7,2002
ERA,Pedro Martinez,Boston,2.26,2002
Games,Billy Koch,Oakland,84,2002
Saves,Eddie Guardado,Minnesota,45,2002
Shutouts,Jeff Weaver,New York,3,2002
Strikeouts,Pedro Martinez,Boston,239,2002
Winning Percentage,Pedro Martinez,Boston,.833,2002
Wins,Barry Zito,Oakland,23,2002
Statistic,Name,Team,#,2002
2002 American League Team Standings,2002 American League Team Standings,2002 American League Team Standings,2002 American League Team Standings,2002
East,Team [Click for roster],Wins,Losses,2002
East,New York Yankees,103,58,2002
East,Boston Red Sox,93,69,2002
East,Toronto Blue Jays,78,84,2002
East,Baltimore Orioles,67,95,2002
East,Tampa Bay Devil Rays,55,106,2002
Central,Team [Click for roster],Wins,Losses,2002
Central,Minnesota Twins,94,67,2002
Central,Chicago White Sox,81,81,2002
Central,Cleveland Indians,74,88,2002
Central,Kansas City Royals,62,100,2002
Central,Detroit Tigers,55,106,2002
West,Team [Click for roster],Wins,Losses,2002
West,Oakland Athletics,103,59,2002
West,Anaheim Angels,99,63,2002
West,Seattle Mariners,93,69,2002
West,Texas Rangers,72,90,2002
American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,2002
2002 American League Team Review Hitting Statistics League Leaderboard,2002 American League Team Review Hitting Statistics League Leaderboard,2002 American League Team Review Hitting Statistics League Leaderboard,2002 American League Team Review Hitting Statistics League Leaderboard,2002
TEAM,G,AB,R,2002
Anaheim,162,5678,851,2002
Baltimore,162,5491,667,2002
Boston,162,5640,859,2002
Chicago,162,5502,856,2002
Cleveland,162,5423,739,2002
Detroit,161,5406,575,2002
Kansas City,162,5535,737,2002
Minnesota,161,5582,768,2002
New York,161,5601,897,2002
Oakland,162,5558,800,2002
Seattle,162,5569,814,2002
Tampa Bay,161,5604,673,2002
Texas,162,5618,843,2002
Toronto,162,5581,813,2002
2002 American League Hitting Statistics League Leaderboard,2002 American League Hitting Statistics League Leaderboard,2002 American League Hitting Statistics League Leaderboard,2002 American League Hitting Statistics League Leaderboard,2002
2002 American League Team Review Pitching Statistics League Leaderboard,2002 American League Team Review Pitching Statistics League Leaderboard,2002 American League Team Review Pitching Statistics League Leaderboard,2002 American League Team Review Pitching Statistics League Leaderboard,2002
TEAM,W,L,ERA,2002
Anaheim,99,63,3.69,2002
Baltimore,67,95,4.46,2002
Boston,93,69,3.75,2002
Chicago,81,81,4.53,2002
Cleveland,74,88,4.91,2002
Detroit,55,106,4.92,2002
Kansas City,62,100,5.21,2002
Minnesota,94,67,4.12,2002
New York,103,58,3.87,2002
Oakland,103,59,3.68,2002
Seattle,93,69,4.07,2002
Tampa Bay,55,106,5.29,2002
Texas,72,90,5.15,2002
Toronto,78,84,4.80,2002
2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002 American League Pitching Statistics League Leaderboard,2002
"Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,383,235.00 Minimum Salary: $200,000.00",2002
2003 American League Player Review ← 2002 | 2003 Hitting Statistics League Leaders | 2004 →,2003 American League Player Review ← 2002 | 2003 Hitting Statistics League Leaders | 2004 →,2003 American League Player Review ← 2002 | 2003 Hitting Statistics League Leaders | 2004 →,2003 American League Player Review ← 2002 | 2003 Hitting Statistics League Leaders | 2004 →,2003
Statistic,Name,Team,#,2003
Base on Balls,Jason Giambi,New York,129,2003
Batting Average,Bill Mueller,Boston,.326,2003
Doubles,Garret Anderson,Anaheim,49,2003
Doubles,Vernon Wells,Toronto,49,2003
Hits,Vernon Wells,Toronto,215,2003
Home Runs,Alex Rodriguez,Texas,47,2003
On Base Percentage,Manny Ramirez,Boston,.427,2003
RBI,Carlos Delgado,Toronto,145,2003
Runs,Alex Rodriguez,Texas,124,2003
Slugging Average,Alex Rodriguez,Texas,.600,2003
Stolen Bases,Carl Crawford,Tampa Bay,55,2003
Total Bases,Vernon Wells,Toronto,373,2003
Triples,Cristian Guzman,Minnesota,14,2003
Statistic,Name,Team,#,2003
2003 American League Pitcher Review ← 2002 | 2003 Pitching Statistics League Leaders | 2004 →,2003 American League Pitcher Review ← 2002 | 2003 Pitching Statistics League Leaders | 2004 →,2003 American League Pitcher Review ← 2002 | 2003 Pitching Statistics League Leaders | 2004 →,2003 American League Pitcher Review ← 2002 | 2003 Pitching Statistics League Leaders | 2004 →,2003
Statistic,Name,Team,#,2003
Complete Games,Bartolo Colon,Chicago,9,2003
Complete Games,Roy Halladay,Toronto,9,2003
Complete Games,Mark Mulder,Oakland,9,2003
ERA,Pedro Martinez,Boston,2.22,2003
Games,Trever Miller,Toronto,79,2003
Saves,Keith Foulke,Oakland,43,2003
Shutouts,Roy Halladay,Toronto,2,2003
Shutouts,Tim Hudson,Oakland,2,2003
Shutouts,John Lackey,Anaheim,2,2003
Shutouts,Mark Mulder,Oakland,2,2003
Shutouts,Joel Pineiro,Seattle,2,2003
Strikeouts,Esteban Loaiza,Chicago,207,2003
Winning Percentage,Roy Halladay,Toronto,.759,2003
Wins,Roy Halladay,Toronto,22,2003
Statistic,Name,Team,#,2003
2003 American League Team Standings,2003 American League Team Standings,2003 American League Team Standings,2003 American League Team Standings,2003
East,Team [Click for roster],Wins,Losses,2003
East,New York Yankees,101,61,2003
East,Boston Red Sox,95,67,2003
East,Toronto Blue Jays,86,76,2003
East,Baltimore Orioles,71,91,2003
East,Tampa Bay Devil Rays,63,99,2003
Central,Team [Click for roster],Wins,Losses,2003
Central,Minnesota Twins,90,72,2003
Central,Chicago White Sox,86,76,2003
Central,Kansas City Royals,83,79,2003
Central,Cleveland Indians,68,94,2003
Central,Detroit Tigers,43,119,2003
West,Team [Click for roster],Wins,Losses,2003
West,Oakland Athletics,96,66,2003
West,Seattle Mariners,93,69,2003
West,Anaheim Angels,77,85,2003
West,Texas Rangers,71,91,2003
2003 American League Final Standings,2003 American League Final Standings,2003 American League Final Standings,2003 American League Final Standings,2003
2003 American League Team Review Hitting Statistics League Leaderboard,2003 American League Team Review Hitting Statistics League Leaderboard,2003 American League Team Review Hitting Statistics League Leaderboard,2003 American League Team Review Hitting Statistics League Leaderboard,2003
TEAM,G,AB,R,2003
Anaheim,162,5487,736,2003
Baltimore,163,5665,743,2003
Boston,162,5769,961,2003
Chicago,162,5487,791,2003
Cleveland,162,5572,699,2003
Detroit,162,5466,591,2003
Kansas City,162,5568,836,2003
Minnesota,162,5655,801,2003
New York,163,5605,877,2003
Oakland,162,5497,768,2003
Seattle,162,5561,795,2003
Tampa Bay,162,5654,715,2003
Texas,162,5664,826,2003
Toronto,162,5661,894,2003
2003 American League Hitting Statistics League Leaderboard,2003 American League Hitting Statistics League Leaderboard,2003 American League Hitting Statistics League Leaderboard,2003 American League Hitting Statistics League Leaderboard,2003
2003 American League Team Review Pitching Statistics League Leaderboard,2003 American League Team Review Pitching Statistics League Leaderboard,2003 American League Team Review Pitching Statistics League Leaderboard,2003 American League Team Review Pitching Statistics League Leaderboard,2003
TEAM,W,L,ERA,2003
Anaheim,77,85,4.28,2003
Baltimore,71,91,4.76,2003
Boston,95,67,4.48,2003
Chicago,86,76,4.17,2003
Cleveland,68,94,4.21,2003
Detroit,43,119,5.30,2003
Kansas City,83,79,5.05,2003
Minnesota,90,72,4.41,2003
New York,101,61,4.02,2003
Oakland,96,66,3.63,2003
Seattle,93,69,3.76,2003
Tampa Bay,63,99,4.93,2003
Texas,71,91,5.67,2003
Toronto,86,76,4.69,2003
2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003 American League Pitching Statistics League Leaderboard,2003
"Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,555,476.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,555,476.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,555,476.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,555,476.00 Minimum Salary: $300,000.00",2003
2004 American League Player Review ← 2003 | 2004 Hitting Statistics League Leaders | 2005 →,2004 American League Player Review ← 2003 | 2004 Hitting Statistics League Leaders | 2005 →,2004 American League Player Review ← 2003 | 2004 Hitting Statistics League Leaders | 2005 →,2004 American League Player Review ← 2003 | 2004 Hitting Statistics League Leaders | 2005 →,2004
Statistic,Name,Team,#,2004
Base on Balls,Eric Chavez,Oakland,95,2004
Batting Average,Ichiro Suzuki,Seattle,.372,2004
Doubles,Brian Roberts,Baltimore,50,2004
Hits,Ichiro Suzuki,Seattle,262,2004
Home Runs,Manny Ramirez,Boston,43,2004
On Base Percentage,Melvin Mora,Baltimore,.419,2004
RBI,Miguel Tejada,Baltimore,150,2004
Runs,Vladimir Guerrero,Anaheim,124,2004
Slugging Average,Manny Ramirez,Boston,.613,2004
Stolen Bases,Carl Crawford,Tampa Bay,59,2004
Total Bases,Vladimir Guerrero,Anaheim,366,2004
Triples,Carl Crawford,Tampa Bay,19,2004
Statistic,Name,Team,#,2004
2004 American League Pitcher Review ← 2003 | 2004 Pitching Statistics League Leaders | 2005 →,2004 American League Pitcher Review ← 2003 | 2004 Pitching Statistics League Leaders | 2005 →,2004 American League Pitcher Review ← 2003 | 2004 Pitching Statistics League Leaders | 2005 →,2004 American League Pitcher Review ← 2003 | 2004 Pitching Statistics League Leaders | 2005 →,2004
Statistic,Name,Team,#,2004
Complete Games,Mark Mulder,Oakland,5,2004
Complete Games,Sidney Ponson,Baltimore,5,2004
Complete Games,Jake Westbrook,Cleveland,5,2004
ERA,Johan Santana,Minnesota,2.61,2004
Games,Paul Quantrill,New York,86,2004
Saves,Mariano Rivera,New York,53,2004
Shutouts,Jeremy Bonderman,Detroit,2,2004
Shutouts,Tim Hudson,Oakland,2,2004
Shutouts,Sidney Ponson,Baltimore,2,2004
Strikeouts,Johan Santana,Minnesota,265,2004
Winning Percentage,Curt Schilling,Boston,.778,2004
Wins,Curt Schilling,Boston,21,2004
Statistic,Name,Team,#,2004
2004 American League Team Standings,2004 American League Team Standings,2004 American League Team Standings,2004 American League Team Standings,2004
East,Team [Click for roster],Wins,Losses,2004
East,New York Yankees,101,61,2004
East,Boston Red Sox,98,64,2004
East,Baltimore Orioles,78,84,2004
East,Tampa Bay Devil Rays,70,91,2004
East,Toronto Blue Jays,67,94,2004
Central,Team [Click for roster],Wins,Losses,2004
Central,Minnesota Twins,92,70,2004
Central,Chicago White Sox,83,79,2004
Central,Cleveland Indians,80,82,2004
Central,Detroit Tigers,72,90,2004
Central,Kansas City Royals,58,104,2004
West,Team [Click for roster],Wins,Losses,2004
West,Anaheim Angels,92,70,2004
West,Oakland Athletics,91,71,2004
West,Texas Rangers,89,73,2004
West,Seattle Mariners,63,99,2004
2004 American League Final Standings,2004 American League Final Standings,2004 American League Final Standings,2004 American League Final Standings,2004
2004 American League Team Review Hitting Statistics League Leaderboard,2004 American League Team Review Hitting Statistics League Leaderboard,2004 American League Team Review Hitting Statistics League Leaderboard,2004 American League Team Review Hitting Statistics League Leaderboard,2004
TEAM,G,AB,R,2004
Anaheim,162,5675,836,2004
Baltimore,162,5736,842,2004
Boston,162,5720,949,2004
Chicago,162,5534,865,2004
Cleveland,162,5676,858,2004
Detroit,162,5623,827,2004
Kansas City,162,5538,720,2004
Minnesota,162,5623,780,2004
New York,162,5527,897,2004
Oakland,162,5728,793,2004
Seattle,162,5722,698,2004
Tampa Bay,161,5483,714,2004
Texas,162,5615,860,2004
Toronto,161,5531,719,2004
TEAM,G,AB,R,2004
2004 American League Hitting Statistics League Leaderboard,2004 American League Hitting Statistics League Leaderboard,2004 American League Hitting Statistics League Leaderboard,2004 American League Hitting Statistics League Leaderboard,2004
2004 American League Team Review Pitching Statistics League Leaderboard,2004 American League Team Review Pitching Statistics League Leaderboard,2004 American League Team Review Pitching Statistics League Leaderboard,2004 American League Team Review Pitching Statistics League Leaderboard,2004
TEAM,W,L,ERA,2004
Anaheim,92,70,4.28,2004
Baltimore,78,84,4.70,2004
Boston,98,64,4.18,2004
Chicago,83,79,4.91,2004
Cleveland,80,82,4.81,2004
Detroit,72,90,4.93,2004
Kansas City,58,104,5.15,2004
Minnesota,92,70,4.03,2004
New York,101,61,4.69,2004
Oakland,91,71,4.17,2004
Seattle,63,99,4.76,2004
Tampa Bay,70,91,4.81,2004
Texas,89,73,4.53,2004
Toronto,67,94,4.91,2004
TEAM,W,L,ERA,2004
2004 American League Pitching Statistics League Leaderboard,2004 American League Pitching Statistics League Leaderboard,2004 American League Pitching Statistics League Leaderboard,2004 American League Pitching Statistics League Leaderboard,2004
"Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,486,609.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,486,609.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,486,609.00 Minimum Salary: $300,000.00","Seasonal Events: All-Star Game | All-Star Game | All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List Average Salary: $2,486,609.00 Minimum Salary: $300,000.00",2004
2005 American League Player Review ← 2004 | 2005 Hitting Statistics League Leaders | 2006 →,2005 American League Player Review ← 2004 | 2005 Hitting Statistics League Leaders | 2006 →,2005 American League Player Review ← 2004 | 2005 Hitting Statistics League Leaders | 2006 →,2005 American League Player Review ← 2004 | 2005 Hitting Statistics League Leaders | 2006 →,2005
Statistic,Name,Team,#,2005
Base on Balls,Jason Giambi,New York,108,2005
Batting Average,Michael Young,Texas,.331,2005
Doubles,Miguel Tejada,Baltimore,50,2005
Hits,Michael Young,Texas,221,2005
Home Runs,Alex Rodriguez,New York,48,2005
On Base Percentage,Jason Giambi,New York,.440,2005
RBI,David Ortiz,Boston,148,2005
Runs,Alex Rodriguez,New York,124,2005
Slugging Average,Alex Rodriguez,New York,.610,2005
Stolen Bases,Chone Figgins,Los Angeles,62,2005
Total Bases,Mark Teixeira,Texas,370,2005
Triples,Carl Crawford,Tampa Bay,15,2005
Statistic,Name,Team,#,2005
2005 American League Pitcher Review ← 2004 | 2005 Pitching Statistics League Leaders | 2006 →,2005 American League Pitcher Review ← 2004 | 2005 Pitching Statistics League Leaders | 2006 →,2005 American League Pitcher Review ← 2004 | 2005 Pitching Statistics League Leaders | 2006 →,2005 American League Pitcher Review ← 2004 | 2005 Pitching Statistics League Leaders | 2006 →,2005
Statistic,Name,Team,#,2005
Complete Games,Roy Halladay,Toronto,5,2005
ERA,Kevin Millwood,Cleveland,2.86,2005
Games,Mike Timlin,Boston,81,2005
Saves,Francisco Rodriguez,Los Angeles,45,2005
Saves,Bob Wickman,Cleveland,45,2005
Shutouts,Jon Garland,Chicago,3,2005
Strikeouts,Johan Santana,Minnesota,238,2005
Winning Percentage,Cliff Lee,Cleveland,.783,2005
Wins,Bartolo Colon,Los Angeles,21,2005
Statistic,Name,Team,#,2005
2005 American League Team Standings,2005 American League Team Standings,2005 American League Team Standings,2005 American League Team Standings,2005
East,Team [Click for roster],Wins,Losses,2005
East,New York Yankees,95,67,2005
East,Boston Red Sox,95,67,2005
East,Toronto Blue Jays,80,82,2005
East,Baltimore Orioles,74,88,2005
East,Tampa Bay Devil Rays,67,95,2005
Central,Team [Click for roster],Wins,Losses,2005
Central,Chicago White Sox,99,63,2005
Central,Cleveland Indians,93,69,2005
Central,Minnesota Twins,83,79,2005
Central,Detroit Tigers,71,91,2005
Central,Kansas City Royals,56,106,2005
West,Team [Click for roster],Wins,Losses,2005
West,Los Angeles Angels of Anaheim,95,67,2005
West,Oakland Athletics,88,74,2005
West,Texas Rangers,79,83,2005
West,Seattle Mariners,69,93,2005
2005 American League Final Standings,2005 American League Final Standings,2005 American League Final Standings,2005 American League Final Standings,2005
"Seasonal Events: All-Star Game | HR Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $2,632,655 Minimum Salary: $316,000.00","Seasonal Events: All-Star Game | HR Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $2,632,655 Minimum Salary: $316,000.00","Seasonal Events: All-Star Game | HR Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $2,632,655 Minimum Salary: $316,000.00","Seasonal Events: All-Star Game | HR Derby | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard | Retirements | Rookies List Average Salary: $2,632,655 Minimum Salary: $316,000.00",2005
2006 American League Player Review ← 2005 | 2006 A.L. Hitting Statistics League Leaders | 2007 →,2006 American League Player Review ← 2005 | 2006 A.L. Hitting Statistics League Leaders | 2007 →,2006 American League Player Review ← 2005 | 2006 A.L. Hitting Statistics League Leaders | 2007 →,2006 American League Player Review ← 2005 | 2006 A.L. Hitting Statistics League Leaders | 2007 →,2006
Statistic,Name,Team,#,2006
Base on Balls,David Ortiz,Boston,119,2006
Batting Average,Joe Mauer,Minnesota,.347,2006
Doubles,Grady Sizemore,Cleveland,53,2006
Hits,Ichiro Suzuki,Seattle,224,2006
Home Runs,David Ortiz,Boston,54,2006
On Base Percentage,Manny Ramirez,Boston,.439,2006
RBI,David Ortiz,Boston,137,2006
Runs,Grady Sizemore,Cleveland,134,2006
Slugging Average,Travis Hafner,Cleveland,.659,2006
Stolen Bases,Carl Crawford,Tampa Bay,58,2006
Total Bases,David Ortiz,Boston,355,2006
Triples,Carl Crawford,Tampa Bay,16,2006
Statistic,Name,Team,#,2006
2006 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2006 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2006 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2006 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2006
2006 American League Pitcher Review ← 2005 | 2006 A.L. Pitching Statistics League Leaders | 2007 →,2006 American League Pitcher Review ← 2005 | 2006 A.L. Pitching Statistics League Leaders | 2007 →,2006 American League Pitcher Review ← 2005 | 2006 A.L. Pitching Statistics League Leaders | 2007 →,2006 American League Pitcher Review ← 2005 | 2006 A.L. Pitching Statistics League Leaders | 2007 →,2006
Statistic,Name,Team,#,2006
Complete Games,CC Sabathia,Cleveland,6,2006
ERA,Johan Santana,Minnesota,2.77,2006
Games,Scott Proctor,New York,83,2006
Saves,Francisco Rodriguez,Los Angeles,47,2006
Shutouts,John Lackey,Los Angeles,2,2006
Shutouts,CC Sabathia,Cleveland,2,2006
Shutouts,Jeremy Sowers,Cleveland,2,2006
Shutouts,Jake Westbrook,Cleveland,2,2006
Strikeouts,Johan Santana,Minnesota,245,2006
Winning Percentage,Roy Halladay,Toronto,.762,2006
Wins,Johan Santana,Minnesota,19,2006
Wins,Chien-Ming Wang,New York,19,2006
Statistic,Name,Team,#,2006
2006 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2006 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2006 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2006 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,2006
2006 American League Standings 2006 All-Star Game | 2006 A.L. Team Standings | 2006 World Series,2006 American League Standings 2006 All-Star Game | 2006 A.L. Team Standings | 2006 World Series,2006 American League Standings 2006 All-Star Game | 2006 A.L. Team Standings | 2006 World Series,2006 American League Standings 2006 All-Star Game | 2006 A.L. Team Standings | 2006 World Series,2006
East,Team | Roster,Wins,Losses,2006
East,New York Yankees,97,65,2006
East,Toronto Blue Jays,87,75,2006
East,Boston Red Sox,86,76,2006
East,Baltimore Orioles,70,92,2006
East,Tampa Bay Devil Rays,61,101,2006
Central,Team | Roster],Wins,Losses,2006
Central,Minnesota Twins,96,66,2006
Central,Detroit Tigers,95,67,2006
Central,Chicago White Sox,90,72,2006
